83947,16153
83955,16003
38960,10448
19655,8013
36878,7567
19656,7439
13810,7110
19657,6973
19658,6573
36877,6336
19659,6295
38949,5369
36876,5293
38959,5188
36875,4530
36879,4430
16037,4408
19654,4346
3781,4151
26454,4073
26015,3982
4722,3972
4721,3944
4739,3942
32167,3912
4740,3904
4741,3879
95437,3847
16039,3774
18021,3743
27132,3643
14570,3631
17030,3622
13808,3616
13809,3588
74184,3583
14051,3581
2282,3580
32340,3557
27141,3521
3780,3497
27142,3488
77038,3485
77039,3477
14220,3469
16048,3455
95438,3429
36874,3395
26453,3359
58671,3302
13245,3278
19943,3269
9811,3260
22828,3231
12705,3167
47489,3167
26455,3148
46671,3138
5173,3132
19660,3131
51621,3131
82189,3113
25953,3098
16049,3082
79166,3079
95439,3075
38558,3074
13069,3067
77040,3063
21162,3055
38472,3053
11843,3031
19942,3024
77037,3022
16040,3007
18840,3007
16664,2975
5442,2961
21250,2960
43982,2947
415,2946
27133,2920
29605,2918
48131,2902
24844,2897
51268,2890
52799,2884
82194,2867
38456,2863
31039,2861
82190,2836
69621,2826
13244,2817
46672,2805
28517,2794
13084,2786
23405,2785
66053,2772
15041,2766
35537,2761
47757,2744
16050,2742
17402,2741
38462,2738
33873,2729
82738,2703
11844,2702
77036,2679
95440,2679
37229,2675
77041,2660
28519,2657
14571,2652
76569,2632
77026,2625
82186,2623
40362,2618
16665,2617
25990,2615
38561,2613
3867,2609
17026,2603
26452,2601
33594,2600
43981,2600
17218,2598
82188,2592
32179,2585
36704,2580
29604,2571
38448,2569
65114,2560
16047,2555
26003,2554
53875,2554
19944,2550
20417,2550
83175,2548
12077,2543
46673,2540
51684,2540
65759,2540
21244,2536
51880,2536
66064,2529
96567,2524
16835,2519
16836,2518
14572,2517
16834,2514
38565,2501
69622,2500
69625,2499
37230,2497
86336,2493
5155,2492
46670,2488
5172,2481
81979,2477
24253,2476
28227,2476
18160,2474
5212,2472
4476,2469
29314,2467
36708,2462
46961,2462
12706,2456
3812,2455
51712,2454
25620,2451
74047,2448
40062,2444
16046,2442
74046,2441
9812,2436
10237,2434
36681,2427
12403,2424
34836,2417
68787,2416
43983,2411
677,2410
18229,2408
11362,2406
17184,2406
86020,2402
27918,2397
34965,2397
3811,2389
9243,2383
81438,2381
16034,2378
38670,2377
18832,2376
11845,2372
83379,2372
83176,2371
7169,2367
38471,2367
10499,2366
46674,2366
16683,2365
17029,2365
62450,2364
28247,2360
22618,2351
23406,2349
65113,2348
21165,2347
49237,2346
53320,2341
66063,2329
77028,2322
82199,2321
381,2320
77035,2318
41067,2317
11265,2312
69620,2306
95441,2305
3877,2304
5467,2304
54018,2304
16833,2303
35850,2301
65115,2301
33909,2295
47770,2295
53319,2293
69623,2289
