32750,95008,32225,11311,1835763,25396.0
88768,95008,32503,11525,1835433,25325.0
87284,97156,33117,11605,736830,22568.0
82198,95552,34299,9467,42767175,11164.0
34120,96959,25562,8660,880900,11329.0
52335,94807,36695,14127,12253,16991.0
24458,96998,32927,15513,297035,17820.0
88830,94619,32938,10422,79621,11379.0
45988,96573,33080,13638,471616,21038.0
20541,97141,17076,10104,16638,17569.0
58424,95558,39475,9866,109276498,15543.0
93223,97141,28246,10082,87249,11251.0
20659,97127,34241,15189,703486,16893.0
41220,95292,46888,14325,407397,18002.0
18485,97157,35952,12195,8028817,15233.0
38208,97156,19745,10630,46463,12345.0
79107,97141,28595,14337,40790,16917.0
64894,94400,27485,12626,11743,18397.0
24702,97157,35420,11504,8029451,16073.0
28272,97121,38353,13528,3738107,13528
